Metabolite (722),Description,read only,Read and write,write only,requirement
azithromycin,azithromycin,x,,,
chloramphenicol,chloramphenicol,x,,,
ciprofloxacin,ciprofloxacin,x,,,
clarithromycin,clarithromycin,x,,,
clindamycin,clindamycin,x,,,
difloxacin,difloxacin,x,,,
erythromycin,erythromycin,x,,,
G6P,D-Glucose 6-phosphate,x,,,
gentamicin,gentamicin,x,,,
lincomycin,lincomycin,x,,,
PI,phosphate,x,,,
pristinamycin,pristinamycin,x,,,
sparfloxacin,sparfloxacin,x,,,
spectinomycin,spectinomycin,x,,,
streptomycin,streptomycin,x,,,
tetracycline,tetracycline,x,,,
