Protein Monomer (482),Description,read only,Read and write,write only
MG_473_MONOMER,ribosomal protein L33 type 2,,X,
MG_070_MONOMER,ribosomal protein S2,,X,
MG_081_MONOMER,ribosomal protein L11,,X,
MG_082_MONOMER,ribosomal protein L1,,X,
MG_087_MONOMER,ribosomal protein S12,,X,
MG_088_MONOMER,ribosomal protein S7,,X,
MG_090_MONOMER,ribosomal protein S6,,X,
MG_092_MONOMER,ribosomal protein S18,,X,
MG_093_MONOMER,ribosomal protein L9,,X,
MG_150_MONOMER,ribosomal protein S10,,X,
MG_151_MONOMER,ribosomal protein L3,,X,
MG_152_MONOMER,ribosomal protein L4/L1 family,,X,
MG_153_MONOMER,ribosomal protein L23,,X,
MG_154_MONOMER,ribosomal protein L2,,X,
MG_155_MONOMER,ribosomal protein S19,,X,
MG_156_MONOMER,ribosomal protein L22,,X,
MG_157_MONOMER,ribosomal protein S3,,X,
MG_158_MONOMER,ribosomal protein L16,,X,
MG_159_MONOMER,ribosomal protein L29,,X,
MG_160_MONOMER,ribosomal protein S17,,X,
MG_161_MONOMER,ribosomal protein L14,,X,
MG_162_MONOMER,ribosomal protein L24,,X,
MG_163_MONOMER,ribosomal protein L5,,X,
MG_164_MONOMER,ribosomal protein S14,,X,
MG_165_MONOMER,ribosomal protein S8,,X,
MG_166_MONOMER,ribosomal protein L6,,X,
MG_167_MONOMER,ribosomal protein L18,,X,
MG_168_MONOMER,ribosomal protein S5,,X,
MG_169_MONOMER,ribosomal protein L15,,X,
MG_174_MONOMER,ribosomal protein L36,,X,
MG_175_MONOMER,ribosomal protein S13,,X,
MG_176_MONOMER, ,,X,
MG_178_MONOMER,ribosomal protein L17,,X,
MG_197_MONOMER,ribosomal protein L35,,X,
MG_198_MONOMER,ribosomal protein L20,,X,
MG_481_MONOMER,30S ribosomal protein S21,,X,
MG_232_MONOMER,ribosomal protein L21,,X,
MG_234_MONOMER,ribosomal protein L27,,X,
MG_257_MONOMER,ribosomal protein L31,,X,
MG_311_MONOMER,ribosomal protein S4,,X,
MG_325_MONOMER,ribosomal protein L33,,X,
MG_361_MONOMER,ribosomal protein L10,,X,
MG_362_MONOMER,ribosomal protein L7/L12,,X,
MG_363_MONOMER,ribosomal protein L32,,X,
MG_522_MONOMER,ribosomal protein S20,,X,
MG_417_MONOMER,ribosomal protein S9,,X,
MG_418_MONOMER,ribosomal protein L13,,X,
MG_424_MONOMER,ribosomal protein S15,,X,
MG_426_MONOMER,ribosomal protein L28,,X,
MG_444_MONOMER,ribosomal protein L19,,X,
MG_446_MONOMER,ribosomal protein S16,,X,
MG_466_MONOMER,ribosomal protein L34,,X,
